ticker,direction,entry_ts,exit_ts,entry_price,exit_price,pnl_usd,pnl_pct,exit_reason,status
"META","LONG",1751981400000,1752068100000,720.18,715.95470394,,-0.5867000000000007,"sl_breached","LOSS"
"SPY","LONG",1751982300000,1752068100000,620.65997,619.96421017363,,0.19932574140635934,"sl_breached","WIN"
"PH","LONG",1751991600000,1752161700000,709.325,705.3499427,,-0.5604000000000003,"sl_breached","LOSS"
"MSFT","LONG",1752003000000,1752762600000,495.93,510.96,,2.141431250378073,"SOFT_FUSE_RSI_CONFIRMED","WIN"
"IWM","LONG",1752068400000,1752071400000,223.1,221.34,,-0.7888839085611794,"sl_breached","LOSS"
"ETN","LONG",1752070800000,1752156600000,358.4,353.98,,-1.2332589285714173,"doctrine_force_exit","LOSS"
"GOOGL","LONG",1752076800000,1752154800000,176.84,174.97,,-1.057453064917442,"doctrine_force_exit","LOSS"
"XLY","LONG",1752090000000,1752154500000,109.49,109.45999974,,0.2831307608000783,"sl_breached","WIN"
"FIX","LONG",1752156600000,1753191000000,520.215,533.18,,2.3701738704189474,"mfe_ratchet_giveback","WIN"
"QQQ","LONG",1752160800000,1752499800000,555.0593,553.78,,-0.23047987845623608,"doctrine_force_exit","LOSS"
"GRNY","LONG",1752163200000,1753191600000,22.73,22.9386,,0.7230532336119694,"mfe_ratchet_giveback","WIN"
"CDNS","LONG",1752166800000,1752240600000,322.4,319.55,,-0.8839950372208331,"tape_capitulation_force_exit","LOSS"
"ETN","LONG",1752249600000,1752845700000,358.58,354.1577801339286,,3.528299964692086,"sl_breached","WIN"
"IWM","LONG",1752504300000,1752590700000,222.185,221.0099945,,-0.5288410558768583,"doctrine_force_exit","LOSS"
"SGI","LONG",1752514800000,1752586200000,71.85,71.75,,-0.13917884481558013,"thesis_flip_htf","LOSS"
"SPY","LONG",1752592800000,1752609600000,625.1007,621.58,,-0.5632212537915762,"sl_breached","LOSS"
"CDNS","LONG",1752673200000,1752759000000,314.65,312.01,,-0.8390274908628592,"thesis_flip_htf","LOSS"
"XLY","LONG",1752674400000,1752676500000,109.57,109.53504717,,-0.03189999999999508,"sl_breached","LOSS"
"MTZ","LONG",1752677400000,1753104600000,173.58,175.49,,0.8295886622882805,"mfe_ratchet_giveback","WIN"
"AGQ","LONG",1752678900000,1752693300000,52.56,52.09,,-0.8942161339421593,"thesis_flip_htf","LOSS"
"QQQ","LONG",1752694200000,1752694200000,557.58,554.1,,-0.6241256860002186,"sl_breached","LOSS"
"PH","LONG",1752761400000,1752763500000,715.585,714.354909385,,-0.17189999999999925,"sl_breached","LOSS"
"XLY","LONG",1752763200000,1752765300000,109.85,109.85,,0,"sl_breached","FLAT"
"IWM","LONG",1752763500000,1753123200000,222.78999,222.515,,0.2188204236644565,"doctrine_force_exit","WIN"
"GOOGL","LONG",1752766200000,1753209300000,182.37,180.44152284551006,,2.141883141169604,"sl_breached","WIN"
"AAPL","LONG",1752766200000,1753709700000,210.2347,213.7998,,1.7100887722150553,"atr_week_618_full_exit","WIN"
"SPY","LONG",1752846000000,1753293900000,629.05,626.6797396,,0.3832722295525037,"sl_breached","WIN"
"PH","LONG",1752852600000,1752854700000,721.32,721.32,,0,"sl_breached","FLAT"
"AMZN","LONG",1752855000000,1753364700000,225.2,224.87008199999997,,1.8465844582593303,"sl_breached","WIN"
"QQQ","LONG",1752868200000,1753105500000,561.26,564.90997,,0.6565557851975983,"SOFT_FUSE_RSI_CONFIRMED","WIN"
"XLY","LONG",1753110600000,1753112700000,111.61,111.61,,0,"sl_breached","FLAT"
"ON","LONG",1753110600000,1753125000000,62.2822,61.18,,-1.769687005275991,"doctrine_force_exit","LOSS"
"PH","LONG",1753213800000,1753800300000,720.66,735.685,,1.4462423334165877,"atr_week_618_full_exit","WIN"
"CDNS","LONG",1753279800000,1753364100000,322.15,319.81565390116003,,-0.7246146511997344,"sl_breached","LOSS"
"IESC","LONG",1753292400000,1753461900000,317.38,315.8549891,,5.126661702060622,"sl_breached","WIN"
"NVDA","LONG",1753292400000,1753796100000,169.4801,168.3449222902,,2.493149478328144,"sl_breached","WIN"
"IWM","LONG",1753296000000,1753296000000,225.95,224.155,,-0.7944235450320812,"sl_breached","LOSS"
"MSFT","LONG",1753383600000,1753975200000,511.615,537,,2.7535383051708795,"TP_FULL","WIN"
"SPY","LONG",1753466700000,1753901100000,637.375,632.84003,,-0.7115073543832193,"sl_breached","LOSS"
"AMZN","LONG",1753709400000,1753799700000,232.36,230.90759,,-0.0360238423136551,"SMART_RUNNER_TRIM_REASSESS_ROUNDTRIP_FAILURE","LOSS"
"SGI","LONG",1753718400000,1753803600000,75.0523,74.255,,-1.0623258714256683,"doctrine_force_exit","LOSS"
"CDNS","LONG",1753886400000,1753992000000,366.385,364.57,,1.4494373129499498,"replay_end_close","WIN"
"AMZN","LONG",1753977600000,1753992000000,234.7,227.989927,,-1.0865089475926675,"sl_breached","LOSS"
