time,open,high,low,close,close,open,high,low,volume,ema21,ema200,rsi14,atr14,supertrend_dir,supertrend_line,td9_bull,td9_bear,td13_bull,td13_bear,td_bull_prep_count,td_bear_prep_count,td_bull_leadup_count,td_bear_leadup_count,td_tv_count,td_tv_side_code,phase_value,phase_zone_code,saty_phase_value,saty_phase_zone_code,phase_leaving_accum,phase_leaving_distribution,sq_on,sq_release,vwap,vwap_dist_pct,vwap_rolling20,vwap_rolling20_dist_pct,rvol,pdz_position,pdz_zone_code,fvg_active_bull,fvg_active_bear,fvg_in_bull,fvg_in_bear,liq_nearest_bs_dist_atr,liq_nearest_ss_dist_atr,liq_buyside_swept,liq_sellside_swept,orb_15m_direction,rsi_bull_divergence,rsi_bear_divergence
1323700200,56.42,57.0087,55.89999,56.38,56.38,56.42,57.0087,55.89999,55411696,56.3103088787479,55.447091129725436,50.40026962202633,1.1253325105226273,-1,53.88621098279452,0,0,0,0,3,0,0,17,0,0,4.6068115787419055,0,9.009484901810918,0,0,0,0,0,41.67654433699197,35.27992998679906,56.04604303525479,0.5958618069345992,1.065581079249945,69.02800658978585,3,4,0,0,0,2.505926002875661,5.585015931940971,0,0,0,0,0
1323786600,56.75999,56.98,55.53,55.75999,55.75999,56.75999,56.98,55.53,68557680,56.260279889770814,55.450204551320205,47.30693973967837,1.1485230454852966,-1,53.88621098279452,0,0,0,0,4,0,0,17,1,-1,-3.958702795415539,0,-2.7551596140028938,0,0,0,0,0,41.679912722262266,33.78144616463465,55.98398944948709,-0.4001134104406715,1.2887171283114403,62.2184514003295,3,4,0,1,0,2.995159751928582,4.932412999694159,0,0,0,0,0
1323873000,55.52,55.59,54.58,54.89,54.89,55.52,55.59,54.58,63682704,56.13570899070074,55.4446303766802,43.29181179548251,1.1507706850934898,-1,53.88621098279452,0,0,0,0,5,0,0,17,2,-1,-16.90326800364583,0,-19.419242477607554,0,0,0,0,0,41.6828079553345,31.68498643089917,55.83309167218986,-1.6891267238557863,1.1843023872885832,42.83819628647216,1,2,1,0,0,3.7453161223427007,4.16677280896363,0,0,0,0,0
1323959400,55.36,55.42,54.66,54.74001,54.74001,55.36,55.42,54.66,58732816,56.0088272642734,55.43761922865353,42.62019325503147,1.122858493301098,-1,53.88621098279452,0,0,0,0,6,0,0,17,3,-1,-18.201164414627154,0,-28.542764088698107,0,0,0,0,0,41.68546102665104,31.316791638702774,55.679401162103915,-1.687143077148031,1.1020975831365065,29.542022116903617,1,2,2,0,0,3.9719964952022178,2.7430081514056703,0,0,0,0,0
1324045800,54.88,55.61,54.77,54.86,54.86,54.88,55.61,54.77,60978704,55.904388422066724,55.43187177364205,43.37698663489856,1.1047964580653056,-1,53.88621098279452,0,0,0,0,7,0,0,17,4,-1,-14.709158726686237,0,-30.026749084169126,0,0,0,0,0,41.688243507457514,31.595853853104224,55.60036248181462,-1.3315785163393026,1.189702051069637,31.43759873617694,1,2,1,0,0,3.9283254108183083,1.801236766711621,0,0,0,0,0
1324305000,55.06,55.2,54.17,54.32001,54.32001,55.06,55.2,54.17,46733808,55.76035402006066,55.420808472411785,40.77087157383307,1.0994538539177838,-1,53.88621098279452,0,0,0,0,8,0,0,17,5,-1,-23.736071118849974,0,-36.84760940527214,0,0,0,0,0,41.6902929636081,30.294143165212382,55.55645014531568,-2.225556424288437,0.9241175039038756,22.906951026856316,1,2,1,0,0,4.4385582738290354,1.3188457112893404,0,0,0,0,0
1324391400,55.2,56,55.17,55.92999,55.92999,55.2,56,55.17,81758752,55.77577547278242,55.42587495527336,50.34901846169869,1.1409207214950847,-1,53.88621098279452,0,0,0,0,0,1,0,18,1,1,6.98876242299134,0,-16.171025809353427,0,0,0,0,0,41.694193275703405,34.143355719013904,55.63168035719898,0.5362225999388011,1.5709318208871825,48.341074249605,2,2,0,0,0,2.8661150055324804,2.6820356071630713,0,0,0,0,0
1324477800,55.64,55.64,54.4875,55.13,55.13,55.64,55.64,54.4875,78552000,55.717068611620384,55.422930925867654,46.339040815431694,1.1624613842454359,-1,53.88621098279452,0,0,0,0,0,2,0,18,0,0,-6.850873402806402,0,-16.502546788938496,0,0,0,0,0,41.6977743309456,32.21329167942139,55.6535510651447,-0.9407325410949195,1.4716907491968576,35.703001579778885,1,2,0,0,0,3.5011915708854913,1.9441506020150436,0,0,0,0,0
1324564200,55.22,55.6261,55.17,55.60001,55.60001,55.22,55.6261,55.17,40334016,55.706426919654895,55.42469290670479,48.91337756715012,1.114864142513619,-1,53.88621098279452,0,0,0,0,0,3,0,18,0,0,-1.7772305895241378,0,-9.842153628165487,0,0,0,0,0,41.69966445342669,33.33443021369693,55.74155856595312,-0.2539372231324377,0.7614691779812275,43.12812006319112,1,2,0,0,0,3.229084031605249,2.448737829028034,0,0,0,0,0
1324650600,55.67999,56.08,55.58099,56.08,56.08,55.67999,56.08,55.58099,26594528,55.740388108777175,55.431213375294796,51.47369561820335,1.0708745609055033,-1,53.88621098279452,0,0,0,0,0,4,0,19,1,1,4.605717415970441,0,0.36450787873220136,0,0,0,0,0,41.700951012200434,34.48134548200757,55.80830046313461,0.4868443127825909,0.5015373964008457,50.71090047393362,2,2,0,0,0,2.913506505712317,2.9975499626078608,0,0,0,0,0
1324996200,56.00999,56.42,55.92999,56.24001,56.24001,56.00999,56.42,55.92999,21443440,55.785808280706526,55.4392611029038,52.3313633635397,1.0293842351265392,-1,53.88621098279452,0,0,0,0,0,5,0,20,2,1,6.328180032729391,0,7.53619272779202,0,0,0,0,0,41.70200886074034,34.86163265613377,55.873119540160275,0.6566493205664151,0.414264728828719,53.238704581358576,3,3,0,0,0,2.8754957565831982,3.2738115516075834,0,0,0,0,0
1325082600,56.17,56.25999,55.44,55.59,55.59,56.17,56.25999,55.44,38189536,55.768007527915024,55.440760992427144,48.575444200191114,1.0144275040460724,-1,53.88621098279452,0,0,0,0,0,6,0,20,0,0,-6.65784144635652,0,0.8434988740962126,0,0,0,0,0,41.70383613375664,33.29709003676855,55.93559986100465,-0.6178531415832327,0.7477983640111272,42.96998420221175,1,2,0,0,0,3.558657455166992,2.681315312480399,0,0,0,0,0
1325169000,55.67999,56.03,55.5,55.99001,55.99001,55.67999,56.03,55.5,28077808,55.78818957083184,55.4462261566816,50.91040262044783,0.979825539471353,-1,53.88621098279452,0,0,0,0,0,7,0,20,1,1,-0.086313910058188,0,3.854680794689709,0,0,0,0,0,41.7051866080257,34.251910982278986,55.91713070206027,0.13033447357670502,0.5715321205690813,49.289257503949415,2,2,0,0,0,3.2760832114377183,3.1842505367673364,0,0,0,0,0
1325255400,55.86,56.12,55.82001,55.83,55.83,55.86,56.12,55.82001,21832336,55.791990518938036,55.450044801888744,49.93369788879793,0.9312658580805416,-1,53.88621098279452,0,0,0,0,1,0,0,20,0,0,-4.2921974251285295,0,2.6075879824312596,0,0,0,0,0,41.70624270179641,33.86485183810441,55.880951599015724,-0.09117883206667313,0.45530697745452653,46.76145339652446,1,2,0,0,0,3.618730323632831,3.178469364377795,0,0,0,0,0
1325601000,56.91,57.19,56.75,56.89999,56.89999,56.91,57.19,56.75,39512880,55.892717744489126,55.464472117292836,56.011089754011465,0.9618897253605029,-1,54.243446956103185,0,0,0,0,0,1,0,21,1,1,18.127311112525888,0,18.756803917992237,0,0,0,0,0,41.70829120402893,36.42369024819599,55.88777408314724,1.8111580456699388,0.8218233072651373,63.664928909952636,3,3,0,0,0,2.3911368833241133,4.18965905732034,0,0,0,0,0
1325687400,56.8,57.22,56.56,57.14,57.14,56.8,57.22,56.56,29403360,56.00610704044466,55.48114403652375,57.26422406073738,0.9403261735490381,-1,54.243446956103185,0,0,0,0,0,2,0,22,2,1,23.740230606343104,0,29.47591335896296,0,0,0,0,0,41.709817899206925,36.99412483190551,55.86295415301208,2.2860335017192432,0.6186976120849701,67.4565560821485,3,4,0,0,0,2.1907291937062867,4.540977503459146,0,0,0,0,0
1325773800,57.02,57.66,56.8,57.61,57.61,57.02,57.66,56.8,41260528,56.151915491313325,55.5023266829265,59.68615545984755,0.9345885897241067,-1,54.58529203444358,0,0,0,0,0,3,0,23,3,1,36.429575905952085,0,40.74020916288178,1,0,0,0,0,41.7120135237943,38.113687480315036,55.875805789450574,3.1036585263470933,0.8658326867021117,74.8815165876777,3,4,0,0,0,1.7012833427266387,5.071750342468084,0,0,0,0,0
1325860200,57.64999,57.94,57.39999,57.81,57.81,57.64999,57.94,57.39999,46325168,56.30265044664848,55.52528860647947,60.70663954763426,0.906404404743813,-1,55.12775483099923,0,0,0,0,0,4,0,24,4,1,43.904434921381466,1,48.08675338011854,1,0,0,0,0,41.71453463023189,38.5847894803151,55.916214074766586,3.3868278755446513,0.9703311045521366,78.04107424960507,3,5,0,0,0,1.5335318239024571,5.4501059065310375,0,0,0,0,0
1326119400,57.95,57.98,57.431,57.62,57.62,57.95,57.98,57.431,39195456,56.422409496953165,55.54613150591749,59.174167829637334,0.8808755186906835,-1,55.25278384789931,0,0,0,0,0,5,0,24,5,1,39.96637154464775,1,46.702471299834706,1,0,0,0,0,41.716661817931985,38.122269350017675,55.96145122226079,2.9637343948640407,0.8318793848309617,75.03949447077403,3,5,0,0,0,1.7936700095247138,5.392362370406557,0,0,0,0,0
1326205800,58.25999,58.405,57.6398,58.03999,58.03999,58.25999,58.405,57.6398,35949856,56.56946226995742,55.57094601829642,61.48845500949796,0.874027267355635,-1,55.579455463109376,0,0,0,0,0,6,0,25,6,1,49.105781803258786,1,51.39246092525797,1,0,0,0,0,41.71865529297427,39.12238923428188,55.99030287672415,3.660789490259986,0.7793778001996672,84.2019286676363,3,5,0,0,0,1.3272011564463018,5.915135823670335,0,0,0,0,0
1326292200,58.02,58.28999,57.81,58.16,58.16,58.02,58.28999,57.81,37144048,56.7140566090522,55.59670774945765,62.14873146571387,0.8458817482588039,-1,55.70734791679844,0,0,0,0,0,7,0,26,7,1,50.866114373069735,1,54.186095110262116,1,0,0,0,0,41.7207218494116,39.40314889546965,56.04949733477288,3.765426570414163,0.8215352146553907,86.57937806873977,3,5,0,0,0,1.0048567683954146,6.253829227181154,0,0,0,0,0
1326378600,58.28999,58.47,57.86,58.39,58.39,58.28999,58.47,57.86,26188208,56.866415099138365,55.62450170219937,63.44235573899229,0.8290330519546035,-1,55.87361762511859,0,0,0,0,0,8,0,26,8,1,52.90366237948438,1,57.7228054654559,1,0,0,0,0,41.72219219830417,39.949501508631904,56.112833493941075,4.058191975468159,0.6076926164234944,90.3436988543372,3,5,0,0,0,0.7116724702458591,6.6583593826392695,0,0,0,0,0
1326465000,58.10001,58.2,57.67999,58.17999,58.17999,58.10001,58.2,57.67999,35985088,56.985830999216695,55.64992944645609,61.37959637346346,0.8205314053864178,-1,55.87361762511859,0,1,0,0,0,9,0,1,9,1,44.9828102134959,1,53.11720803451546,1,0,0,0,0,41.72418526586782,39.439487264461306,56.27853137990982,3.378657142373393,0.8627527836697844,86.90654664484451,3,5,0,0,0,0.9749901036673262,6.471403733168914,0,0,0,0,0
1326810600,58.71001,58.96001,58.49001,58.71001,58.71001,58.71001,58.96001,58.49001,41790752,57.14257454474245,55.68037800917792,64.51538201462063,0.8176377335731022,-1,56.44328157634605,0,0,0,0,0,10,0,2,10,1,54.04375601601828,1,58.509091600713624,1,0,0,0,0,41.72659867634392,40.70164322615754,56.499573519857755,3.912306487349583,1.0227161356025831,95.581178396072,4,6,0,0,0,0.33020736313151217,7.142539733922229,0,0,0,0,0
1326897000,58.84,59.49001,58.68221,59.49001,59.49001,58.84,59.49001,58.68221,48692624,57.355977767947685,55.71828479515625,68.56100362705904,0.8169350383178806,-1,56.79021441871145,0,0,0,0,0,11,0,3,11,1,68.35834071968138,2,72.79191682654465,2,0,0,0,0,41.729492638228855,42.56106709886171,56.77171562781547,4.788113838244998,1.209808448224738,100,4,7,0,0,0,-0.6242968854049192,8.103471744376405,1,0,0,0,0
1326983400,59.75999,59.97,59.64999,59.86,59.86,59.75999,59.97,59.64999,47774416,57.58361615267972,55.75949589172186,70.29125611832491,0.7928675355808892,-1,57.599691976840305,0,0,0,0,0,12,0,4,12,1,72.94780453561415,2,84.24724388793246,2,0,0,0,0,41.732429425585636,43.43761152639864,57.080838229694784,4.868817376370325,1.1854623198273757,98.45070422535213,4,8,0,0,0,-0.46664793726095827,8.816100655299028,1,0,0,0,0
1327069800,59.61,59.8,59.56,59.77,59.77,59.61,59.8,59.56,41050560,57.78237832061792,55.79940140523707,69.2922623996707,0.7576627116108254,-1,57.600727279156274,0,0,0,0,0,13,0,5,13,1,67.4847648687443,2,85.84628043308702,2,0,0,0,0,41.734935857818655,43.213350569466954,57.36938575962784,4.184486566459862,1.0728013052946916,97.18309859154935,4,9,0,0,0,0.2639697017354683,9.10695470987386,0,0,0,0,0
1327329000,59.8,60.21001,59.44,59.78999,59.78999,59.8,60.21001,59.44,40964624,57.96488847328902,55.83910875443869,69.39630000736611,0.7585446607814808,-1,57.72265655124065,0,0,0,0,0,14,0,5,14,1,62.59830438018858,2,83.0240866093086,2,0,0,0,0,41.737450721007136,43.252615977110295,57.75345812168197,3.526250971893697,1.1258514307263865,94.27766447184686,3,8,0,0,0,0.23730969223953516,9.12271927782179,1,0,0,0,0
1327415400,59.53999,59.84,59.41,59.67999,59.67999,59.53999,59.84,59.41,38440192,58.12080679389911,55.87732647827512,68.03042704594108,0.7350771850113755,-1,57.72265655124065,0,0,0,0,0,15,0,5,15,1,56.05781143618136,1,76.86395912822309,2,0,0,0,0,41.73978778160383,42.98105757572403,57.98069884838652,2.930787633410471,1.0592277754456267,92.77902891140475,3,8,0,0,0,0.7210399272449167,9.26431963725634,0,0,0,0,0
1327501800,60.28,60.58,59.8335,60.42999,60.42999,60.28,60.58,59.8335,61591776,58.33073253990828,55.92262661281965,72.067260114558,0.746858100367706,-1,58.117744756504926,0,0,0,0,0,16,0,6,16,1,71.67928096402075,2,85.27839432166212,2,0,0,0,0,41.74366448555615,44.76445885796527,58.23918761770961,3.7617323865695504,1.6191049271924836,98.05434500648506,4,8,0,0,0,-0.2945405558186961,10.122391383688463,1,0,0,0,0
1327588200,60.67,60.8,59.92999,60.22,60.22,60.67,60.8,59.92999,37852656,58.50248412718935,55.96538654702045,69.42402509781357,0.7556546646271556,-1,58.22388728085443,0,0,0,0,0,17,0,7,17,1,58.926930038576174,1,80.52060766064986,2,0,0,0,0,41.74605076086166,44.253166233531,58.39671875969772,3.1222323428908303,0.9740502001724418,92.68600252206811,3,9,0,0,0,0.4764080959886955,9.72666529310255,1,0,0,0,0
1327674600,60.09,60.50999,60.06,60.39999,60.39999,60.09,60.50999,60.06,45540384,58.674984661081226,56.00951195451278,70.42529828794846,0.7338214742966445,-1,58.22388728085443,0,0,0,0,0,18,0,7,18,1,60.9771858277004,1,79.43889152365469,2,0,0,0,0,41.74892189677057,44.674370632483715,58.63673011102443,3.0070910939900126,1.160896443098353,94.95573770491809,3,9,0,0,0,0.5451053342141527,10.261337755504327,0,0,0,0,0
1327933800,59.88,60.53999,59.66,60.45,60.45,59.88,60.53999,59.66,42797536,58.836349691892025,56.0536959151644,70.71227789107172,0.744262083275456,-1,58.22388728085443,0,0,0,0,0,19,0,7,19,1,57.252262174917774,1,75.8547970126124,2,0,0,0,0,41.75160380868284,44.784857312304176,58.81957083073536,2.771916126277967,1.0708855340016925,95.58638083228254,4,7,0,0,0,0.47026445101121345,10.184584396185882,0,0,0,0,0
1328020200,60.75,60.86,60.14,60.53,60.53,60.75,60.86,60.14,51449600,58.990317901720026,56.09823625431699,71.19381986159466,0.742529077327209,-1,58.37618760274288,0,0,0,0,0,20,0,8,20,1,56.20733701189396,1,72.48681050541111,2,0,0,0,0,41.75487807388357,44.965098192586304,59.0007768895101,2.5918694483526137,1.241380074456167,95.8698372966208,4,7,0,0,0,0.3636221236909428,10.31609432397283,1,0,0,0,0
