time,open,high,low,close,close,open,high,low,volume,ema21,ema200,rsi14,atr14,supertrend_dir,supertrend_line,td9_bull,td9_bear,td13_bull,td13_bear,td_bull_prep_count,td_bear_prep_count,td_bull_leadup_count,td_bear_leadup_count,td_tv_count,td_tv_side_code,phase_value,phase_zone_code,saty_phase_value,saty_phase_zone_code,phase_leaving_accum,phase_leaving_distribution,sq_on,sq_release,vwap,vwap_dist_pct,vwap_rolling20,vwap_rolling20_dist_pct,rvol,pdz_position,pdz_zone_code,fvg_active_bull,fvg_active_bear,fvg_in_bull,fvg_in_bear,liq_nearest_bs_dist_atr,liq_nearest_ss_dist_atr,liq_buyside_swept,liq_sellside_swept,orb_15m_direction,rsi_bull_divergence,rsi_bear_divergence
1676313000,192.6,192.84,192.19,192.24,192.24,192.6,192.84,192.19,78754,191.55307772839365,187.77273971020477,53.81387033385875,1.0711823114980337,1,193.07192540398182,0,0,0,0,0,7,5,0,4,1,12.007769910364829,0,20.91616248422258,0,0,0,0,0,151.68212712118876,26.738728977875503,191.08332784082424,0.6053234325808361,0.5945120455233441,34.39252336448608,1,4,3,0,0,6.5535062749333575,3.435456280876761,0,0,1,0,0
1676316600,192.29,192.32,191.8,192.14,192.14,192.29,192.32,191.8,82108,191.60643429853968,187.81619503647138,52.992141771071026,1.03181214639103,1,193.07192540398182,0,0,0,0,0,8,5,0,5,1,12.18736751547083,0,19.0766672144797,0,0,0,0,0,151.68272359090554,26.67230351045737,191.01529875930643,0.5888016551547327,0.6360634529612609,33.86944181646155,1,3,3,0,0,6.900480891704594,3.469623819143584,0,0,1,0,0
1676320200,192.15,192.63,192.15,192.61,192.61,192.15,192.63,192.15,153440,191.69766754412697,187.86389458834728,56.36466544163633,0.9931112787916713,1,193.07192540398182,0,1,0,0,0,9,0,1,6,1,24.674031408456994,0,24.849347846971472,0,0,0,0,0,151.68384859236923,26.981219020631876,190.85032121580932,0.9220203418997087,1.2262035478710058,38.31598864711461,1,3,3,0,1,6.565226011664003,4.078092844668614,0,0,1,0,0
1676385000,191.27,193.94,190.08,192.6,192.6,191.27,193.94,190.08,314281,191.77969776738814,187.9110200153289,56.27216049493289,1.1978890445922652,1,193.07192540398182,0,0,0,0,0,10,0,2,7,1,24.852832625915433,0,23.83783772073687,0,0,0,0,0,151.68613816281348,26.972709789256623,190.9363610921132,0.8713054435368677,2.3174544066924874,38.221381267738835,1,1,2,0,0,5.451256132175971,3.3725995059710376,0,0,0,0,0
1676388600,192.64,192.75,190.58,191.13,191.13,192.64,192.75,190.58,203798,191.7206343339892,187.94304966691766,44.66709172615969,1.2673255414071025,1,193.07192540398182,0,0,0,0,1,0,0,2,1,-1,-0.8575361024276509,0,4.15145482302465,0,0,0,0,0,151.68759633593686,26.00239216442689,190.93735571317822,0.1008939744149179,1.4423704366362857,24.31409649952691,1,1,2,0,0,6.312505933651157,2.027892531185429,0,0,0,0,0
1676392200,191.1,191.68,190.21,191.44,191.44,191.1,191.68,190.21,120545,191.69512212180837,187.97784519261998,47.14273387436537,1.2818022884494522,1,193.07192540398182,0,0,0,0,2,0,0,2,2,-1,2.578732733304041,0,-1.2415044282095042,0,0,0,0,0,151.6884506218067,26.206048789635812,190.91406592057385,0.27548210075047863,0.8697481053062968,27.40247383444337,1,1,2,0,0,5.999365166762419,2.2468363693466507,0,0,0,0,0
1676395800,191.38,192.98,191.36,192.4,192.4,191.38,192.98,191.36,108450,191.7592019289167,188.02184673299192,54.00557283046601,1.3059592678459182,1,193.07192540398182,0,0,0,0,3,0,0,2,0,0,16.25312592127908,0,7.5571198791070895,0,0,0,0,0,151.6892413201976,26.838263759172566,190.97072088367582,0.7484284029041209,0.7933857453198837,36.53663177925792,1,1,2,0,0,5.107356840463831,2.9403673564289607,0,0,0,0,0
1676399400,192.44,192.58,191.64,192.2,192.2,192.44,192.58,191.64,59987,191.79927448083336,188.06342039734025,52.47691305879046,1.27981932014264,1,193.07192540398182,0,0,0,0,4,0,0,3,0,0,11.379972191663878,0,8.997076762719455,0,0,0,0,0,151.68967751610424,26.706050897626138,191.04066725087185,0.6068512876400923,0.45512621108775975,41.22310305775756,1,1,2,0,0,5.367945218419051,2.844151469438902,0,0,0,0,0
1676403000,192.24,192.98,192.24,192.69,192.69,192.24,192.98,192.24,103262,191.88024952803033,188.10945601527717,55.77944634365397,1.2441179401324514,1,193.07192540398182,0,0,0,0,0,1,0,3,1,1,19.11225078616619,0,15.346256884685555,0,0,0,0,0,151.69043758369622,27.028442312773993,191.19948789226555,0.7795586296623866,0.8187433571554016,46.77236693091736,1,1,2,0,0,3.7777768878564815,3.319620967414317,0,0,0,0,0
1676406600,192.7,193.13,192.46,192.53,192.53,192.7,193.13,192.46,149368,191.93931775275485,188.15344152756296,54.44886934379879,1.2031095158372753,1,193.07192540398182,0,0,0,0,0,2,0,3,2,1,16.921384906433158,0,15.855844970772361,0,0,0,0,0,151.69153884744873,26.92204289233376,191.4682001624003,0.5545567549593569,1.2420592832015407,45.113636363636296,1,1,2,0,0,4.039532508075779,3.2997827277903062,0,0,0,0,0
